"";"PHENOTYPE";"ID";"SITE";"SECTOR";"DistanceToSea";"DATE";"YEAR";"MONTH";"JDAY";"SEX";"FORK_LENGTH";"WEIGHT";"AGE";"NUM_SCALE";"NUM_GENET";"LUPO";"MARQUES";"NUM_TAG";"DAYN"
"1";"ADULT";178718;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-03-17T08:00:00Z";1984;3;76;"M";865;7000;"1.2";"STPE-8401-84001";NA;NA;"COLO-AT-BLE-012-PO";NA;77
"2";"ADULT";178727;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-04-08T07:00:00Z";1984;4;98;"M";715;3500;"3.2";"STPE-8401-84002";NA;NA;"COLO-AT-BLE-013-PO,CRYO-CN-NNN-D-LU,ABLA-IT-NNN-NNN-LU";NA;99
"3";"ADULT";178736;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-05-19T07:00:00Z";1984;5;139;"F";860;6375;"1.2";"STPE-8401-84005";NA;NA;"COLO-AT-BLE-015-PO";NA;140
"4";"ADULT";178744;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-05-20T07:00:00Z";1984;5;140;"F";825;5450;"2.2";"STPE-8401-84006";NA;NA;"COLO-AT-BLE-016-PO";NA;141
"5";"ADULT";178752;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-05-21T07:00:00Z";1984;5;141;"F";833;5260;"1.2";"STPE-8401-84007";NA;NA;"COLO-AT-BLE-017-PO";NA;142
"6";"ADULT";178773;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-05-22T07:00:00Z";1984;5;142;"F";820;5580;"1.2";"STPE-8401-84010";NA;NA;"COLO-AT-BLE-023-PO,CRYO-CN-NNN-VG-LU,ABLA-IT-NNN-NNN-LU";NA;143
"7";"ADULT";178760;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-05-22T07:00:00Z";1984;5;142;"F";835;5500;"1.2";"STPE-8401-84009";NA;NA;"COLO-AT-BLE-019-PO";NA;143
"8";"ADULT";178758;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-05-22T07:00:00Z";1984;5;142;"M";940;8175;"2.3";"STPE-8401-84008";NA;NA;"COLO-AT-BLE-018-PO,ABLA-IT-NNN-NNN-LU";NA;143
"9";"ADULT";155725;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-05-30T06:09:21Z";1984;5;150;"F";750;4075;"1.2";"STPE-8401-84013";NA;NA;"COLO-AT-BLE-025-PO";NA;151
"10";"ADULT";155724;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-05-30T06:09:21Z";1984;5;150;"F";830;5950;"1.2";"STPE-8401-84011";NA;NA;"COLO-AT-BLE-024-PO,CRYO-CN-NNN-VG-LU,ABLA-IT-NNN-NNN-LU";NA;151
"11";"ADULT";155727;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-06-05T06:09:21Z";1984;6;156;"F";810;5150;"2.2";"STPE-8401-84015";NA;NA;"COLO-AT-BLE-026-PO";NA;157
"12";"ADULT";178799;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-06-11T07:00:00Z";1984;6;162;"M";785;4200;"1.2";"STPE-8401-84016";NA;NA;"COLO-AT-BLE-027-PO";NA;163
"13";"ADULT";178808;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-06-21T07:00:00Z";1984;6;172;"F";658;3100;"2.1";"STPE-8401-84017";NA;NA;"COLO-AT-BLE-028-PO,CRYO-CN-NNN-VD-LU,ABLA-IT-NNN-NNN-LU";NA;173
"14";"ADULT";178829;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-06-26T07:00:00Z";1984;6;177;"F";644;2950;"2.1";"STPE-8401-84019";NA;NA;"COLO-AT-BLE-035-PO,CRYO-CN-NNN-VD-LU,ABLA-IT-NNN-NNN-LU";NA;178
"15";"ADULT";178836;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-06-29T07:00:00Z";1984;6;180;"F";640;2600;"2.1";"STPE-8401-84020";NA;NA;"COLO-AT-BLE-036-PO,CRYO-CN-NNN-VD-LU,ABLA-IT-NNN-NNN-LU";NA;181
"16";"ADULT";178849;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-07-02T07:00:00Z";1984;7;183;"F";655;2500;"2.1";"STPE-8401-84022";NA;NA;"COLO-AT-BLE-038-PO,CRYO-CN-NNN-VD-LU,ABLA-IT-NNN-NNN-LU";NA;184
"17";"ADULT";155735;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-07-03T06:09:21Z";1984;7;184;"F";520;1550;"1.1+";"STPE-8401-84021";NA;NA;"COLO-AT-BLE-037-PO,ABLA-IT-NNN-NNN-LU";NA;185
"18";"ADULT";178853;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-07-04T07:00:00Z";1984;7;185;"M";595;2100;"2.1";"STPE-8401-84023";NA;NA;"COLO-AT-BLE-039-PO,CRYO-CN-NNN-VD-LU,ABLA-IT-NNN-NNN-LU";NA;186
"19";"ADULT";155738;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-07-20T06:09:21Z";1984;7;201;"F";650;2470;"2.1";"STPE-8401-84025";NA;NA;"COLO-AT-BLE-045-PO,CRYO-CN-NNN-VD-LU,ABLA-IT-NNN-NNN-LU";NA;202
"20";"ADULT";178866;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-08-02T07:00:00Z";1984;8;214;"F";660;2620;"2.1";"STPE-8401-84026";NA;NA;"COLO-AT-BLE-046-PO,CRYO-CN-NNN-CD-LU,ABLA-IT-NNN-NNN-LU";NA;215
"21";"ADULT";178871;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-08-04T07:00:00Z";1984;8;216;"F";590;1760;"1.1+";"STPE-8401-84027";NA;NA;"COLO-AT-BLE-047-PO,ABLA-IT-NNN-NNN-LU";NA;217
"22";"ADULT";178874;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-08-22T07:00:00Z";1984;8;234;"F";625;2050;"2.1";"STPE-8401-84028";NA;NA;"COLO-AT-BLE-048-PO";NA;235
"23";"ADULT";178883;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-08-23T07:00:00Z";1984;8;235;"F";565;1525;"1.1+";"STPE-8401-84030";NA;NA;"COLO-AT-BLE-056-PO";NA;236
"24";"ADULT";178877;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-08-23T07:00:00Z";1984;8;235;"F";665;2450;"2.1";"STPE-8401-84029";NA;NA;"COLO-AT-BLE-049-PO,CRYO-CN-NNN-VD-LU,ABLA-IT-NNN-NNN-LU";NA;236
"25";"ADULT";178888;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-08-25T07:00:00Z";1984;8;237;"M";675;2570;"1.1+";"STPE-8401-84031";NA;NA;"COLO-AT-BLE-057-PO";NA;238
"26";"ADULT";178893;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-09-06T07:00:00Z";1984;9;249;"F";653;2410;"2.1";"STPE-8401-84032";NA;NA;"COLO-AT-BLE-058-PO,CRYO-CN-NNN-VD-LU,ABLA-IT-NNN-NNN-LU";NA;250
"27";"ADULT";178901;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-09-07T07:00:00Z";1984;9;250;"F";559;1740;"1.1+";"STPE-8401-84034";NA;NA;"COLO-AT-BLE-067-PO,CRYO-CN-NNN->D-LU,ABLA-IT-NNN-NNN-LU";NA;251
"28";"ADULT";178895;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-09-07T07:00:00Z";1984;9;250;"F";740;4100;"1.2";"STPE-8401-84033";NA;NA;"COLO-AT-BLE-059-PO";NA;251
"29";"ADULT";178904;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-09-10T07:00:00Z";1984;9;253;"F";565;1575;"1.1+";"STPE-8401-84035";NA;NA;"COLO-AT-BLE-068-PO,ABLA-IT-NNN-NNN-LU";NA;254
"30";"ADULT";178990;"NIVELLE";"BARRAGE_UXONDOA";12550;"1984-09-19T07:00:00Z";1984;9;262;"F";613;2410;"2.1";"STPE-8401-84041";NA;NA;"COLO-AT-BLE-124-PO,CRYO-CN-NNN-VD-LU,ABLA-IT-NNN-NNN-LU";NA;263
